job_id,title,company,location,seniority_level,salary_range,employment_type,industry,remote,fixed_hours,languages_required,key_skills,description,responsibilities,requirements,nice_to_have,benefits
JP001,Senior Python Developer,FinCloud Sp. z o.o.,Warszawa,Senior,22 000-28 000 PLN brutto,Umowa o pracê,FinTech,Hybrid,Flexible,Angielski B2+,Python;Django;FastAPI;PostgreSQL;Docker;Kubernetes;AWS,"FinCloud rozwija platformê chmurow¹ do obs³ugi p³atnoœci i rozliczeñ dla banków w UE. Szukamy doœwiadczonego Python Developera, który poprowadzi zespó³ backend w projekcie o du¿ej skali (100 000 transakcji/min).",• Projektowanie mikro-serwisów w Python/Django\n• Optymalizacja wydajnoœci i bezpieczeñstwa API\n• Wspó³praca z architektami DevOps nad CI/CD (GitLab)\n• Mentoring 4-osobowego zespo³u programistów\n• Udzia³ w przegl¹dach kodu i decyzjach architektonicznych,"• Min. 5 lat komercyjnego doœwiadczenia z Python\n• Bardzo dobra znajomoœæ Django lub FastAPI\n• Bazy danych relacyjne i NoSQL (PostgreSQL, Redis)\n• Docker + Kubernetes w œrodowisku produkcyjnym\n• Angielski min. B2","• Doœwiadczenie w FinTech lub sektorze bankowym\n• Certyfikaty AWS (SAA, DVA)",• Prywatna opieka medyczna\n• Bud¿et szkoleniowy 6 000 PLN/rok\n• Akcje pracownicze\n• Praca w modelu 3+2 (biuro/zdalnie)
JP002,Cloud DevOps Engineer (AWS),SkyOps,Gdañsk,Senior,20 000-26 000 PLN B2B,Kontrakt B2B,Cloud/DevOps,100 % remote,Flexible,Angielski B2,AWS;Terraform;EKS;CI/CD;Observability;Python,"SkyOps wspiera globalnych klientów w migracji do AWS. Potrzebujemy eksperta DevOps, który zaprojektuje infrastruk­turê as-code oraz poprowadzi automatyzacjê wdro¿eñ.","• Tworzenie modu³ów Terraform (multi-account)\n• Utrzymanie klastrów EKS z Argo CD\n• Automatyzacja CI/CD (GitHub Actions)\n• Monitoring Prometheus, Grafana, Loki\n• Optymalizacja kosztów chmury","• Min. 4 lata doœwiadczenia w DevOps\n• Produkcyjne doœwiadczenie z AWS (EKS, Lambda, RDS)\n• Znajomoœæ Linux, Bash/Python\n• Umiejêtnoœæ tworzenia pipeline’ów CI/CD",• Certyfikat AWS SAP lub DevOps Pro\n• Doœwiadczenie w FinOps,• Sprzêt do wyboru (MBP / ThinkPad)\n• Dowolne godziny – core hours 10-15\n• Konferencje miêdzynarodowe op³acane przez firmê
JP003,Business Analyst (FinTech),PayLine,Kraków,Mid,11 000-15 000 PLN brutto,Umowa o pracê,FinTech,Hybrid,Fixed,Angielski C1,BPMN;JIRA;Confluence;SQL;Power BI,"PayLine buduje modu³ rozliczeñ kartowych zgodny z PCI-DSS. Szukamy analityka, który prze³o¿y wymagania biznesowe na backlog deweloperski.",• Zbieranie i dokumentowanie wymagañ od banków – user stories\n• Analiza procesów i modelowanie BPMN 2.0\n• Przygotowanie acceptance criteria\n• Tworzenie raportów ad-hoc w SQL/Power BI,• 2-4 lata doœwiadczenia jako Business Analyst\n• Znajomoœæ narzêdzi JIRA/Confluence\n• Umiejêtnoœæ pisania zapytañ SQL\n• Doœwiadczenie w pracy Agile/Scrum,• Certyfikat PSM I lub CBAP\n• Podstawy Python/Pandas,• Premia kwartalna 10 %\n• Opieka medyczna (+ rodzinny pakiet)\n• Karnet Multisport\n• Kursy jêzykowe
JP004,Cybersecurity Specialist (SOC L2),SecureBank,Warszawa,Mid,14 000-19 000 PLN brutto,Umowa o pracê,Banking/Security,On-site,Shift,Angielski B2,SIEM;Splunk;MITRE ATT&CK;Pen-test;Nessus;Python,"SecureBank rozbudowuje Security Operations Center do obs³ugi 24/7. Szukamy specjalisty SOC L2, który bêdzie analizowa³ alerty bezpieczeñstwa i prowadzi³ testy penetracyjne.",• Analiza i triage alertów w Splunk ES\n• Prowadzenie testów penetracyjnych (OWASP Top10)\n• Automatyzacja playbooków Python/Bash\n• Wspó³praca z zespo³em Threat Intel,"• 3+ lata w cyberbezpieczeñstwie\n• Doœwiadczenie w pracy z SIEM (Splunk, Elastic)\n• Znajomoœæ OWASP, MITRE ATT&CK\n• Certyfikat Security+ lub równowa¿ny","• CEH, OSCP lub GCIA\n• Doœwiadczenie w sektorze bankowym",• Bonus roczny do 15 %\n• Fundusz szkoleniowy 8 000 PLN\n• Lunch card 300 PLN/mies.
JP005,Junior Mobile Developer (React Native),AppStage,Poznañ,Junior,9 000-12 000 PLN brutto,Umowa o pracê,Mobile Development,Hybrid,Flexible,Angielski B1,React Native;TypeScript;Redux;Firebase;Git,"AppStage tworzy aplikacje mobilne B2B w React Native. Szukamy juniora do zespo³u, który bêdzie rozwija³ funkcje i utrzymywa³ pipeline OTA.",• Implementacja ekranów w React Native/TypeScript\n• Integracje REST/GraphQL z backendem\n• Tworzenie testów jednostkowych w Jest\n• Publikacja buildów OTA (Expo EAS),"• 0,5-2 lata doœwiadczenia komercyjnego\n• Znajomoœæ React Native i TypeScript\n• Podstawy Git i pracy w Agile",• Doœwiadczenie z Bitrise lub Fastlane\n• Znajomoœæ Firebase,• Mentor senior developer\n• Bud¿et sprzêtowy 5 000 PLN\n• 26 dni urlopu + hackathon 2 dni/rok
JP006,Data Engineer (GCP),InsightAnalytics,Wroc³aw,Mid,15 000-20 000 PLN brutto,Umowa o pracê,Big Data/Analytics,Hybrid,Fixed,Angielski B2,PySpark;Airflow;BigQuery;Kafka;dbt;SQL,InsightAnalytics przetwarza dane marketingowe w skali petabajtów. Poszukujemy Data Engineera do budowy pipeline’ów ETL na GCP.,"• Projektowanie i optymalizacja ETL w PySpark/Dataproc\n• Orkiestracja zadañ w Airflow/Composer\n• Modelowanie hurtowni BigQuery, dbt\n• Automatyczne testy Data Quality (Great Expectations)",• 3+ lata doœwiadczenia w data-engineering\n• Bardzo dobra znajomoœæ SQL\n• Praktyka z GCP lub AWS Redshift/EMR\n• Doœwiadczenie z Kafka/Pub-Sub,• Certyfikat GCP PDE\n• Znajomoœæ Docker/Kubernetes,• Premia projektowa 10 %\n• Prywatne ubezpieczenie na ¿ycie\n• Spotkania tech-guild raz w miesi¹cu
JP007,Frontend Developer (Vue.js),ShopWave,£ódŸ,Mid,13 000-17 000 PLN brutto,Umowa o pracê,eCommerce,Remote,Flexible,Angielski B2,Vue 3;TypeScript;Pinia;Vite;REST/GraphQL,ShopWave rozwija platformê e-commerce do sprzeda¿y wielokana³owej. Potrzebujemy Frontend Developera odpowiedzialnego za dashboard administracyjny.,• Implementacja komponentów Vue 3/TypeScript\n• Integracje z GraphQL API (Apollo)\n• Budowa design-systemu w Storybook\n• Optymalizacja Web Vitals,• 2-4 lata doœwiadczenia z JavaScript\n• Vue 2/3 w projektach produkcyjnych\n• Znajomoœæ Git i podstaw CI,• SSR /Nuxt 3\n• Testy Cypress/Playwright,• 100 % praca zdalna\n• Karta Multisport\n• Bud¿et konferencyjny 4 000 PLN
JP008,Product Owner (eCommerce),eMarket,Warszawa,Senior,18 000-24 000 PLN brutto,Umowa o pracê,Retail/eCommerce,Hybrid,Fixed,Angielski C1,Product Roadmap;Agile;Stakeholder Mgmt;Analytics,eMarket buduje now¹ platformê marketplace dla Europy Œrodkowej. Szukamy Product Ownera z doœwiadczeniem w e-commerce.,"• Tworzenie i utrzymanie product backlogu\n• Analiza KPI (GMV, CR)\n• Priorytetyzacja funkcji w oparciu o ROI\n• Wspó³praca z UX i zespo³ami dev (Scrum)",• 5+ lat w roli PO/PM\n• Doœwiadczenie w e-commerce/retail\n• Umiejêtnoœæ prowadzenia A/B testów,• Certyfikat PSPO II\n• Znajomoœæ narzêdzi Amplitude/GA4,• Premia roczna do 20 %\n• Udzia³ w programie opcji na akcje\n• Praca w centrum Warszawy
JP009,QA Automation Engineer,QualityHub,Katowice,Mid,12 000-16 000 PLN brutto,Umowa o pracê,Software Testing,Hybrid,Fixed,Angielski B2,Selenium;Java;Cucumber;API Testing;CI/CD,QualityHub œwiadczy us³ugi testów automatycznych dla klientów z USA. Poszukujemy in¿yniera QA Automation z Java.,• Tworzenie frameworku testów w Selenium/Java\n• Integracja testów API (Rest-Assured)\n• Konfiguracja pipeline’ów w Jenkins\n• Analiza i raportowanie defektów w JIRA,• 2-4 lata w QA Automation\n• Java 8+ i Maven/Gradle\n• Doœwiadczenie w BDD/Cucumber,• Testy mobilne Appium\n• Certyfikat ISTQB TAE,• Pakiet relokacyjny\n• Szkolenia ISTQB/Certyfikaty op³acane przez firmê
JP010,Machine Learning Engineer (NLP),LinguaAI,Kraków,Senior,22 000-30 000 PLN brutto,B2B Kontrakt,AI/NLP,Hybrid,Flexible,Angielski C1,PyTorch;Transformers;LLM;MLOps;Docker;Kubernetes,LinguaAI tworzy modele LLM do automatycznej translacji specjalistycznej. Szukamy ML Engineera z doœwiadczeniem w NLP i MLOps.,"• Fine-tuning modeli Transformer (HF Transformers)\n• Budowa pipeline’u treningowego w MLFlow\n• Optymalizacja inferencji (ONNX, TensorRT)\n• Wdra¿anie modeli na Kubernetes (KServe)","• 5+ lat w ML, 3+ w NLP\n• PyTorch i Hugging Face Transformers\n• Docker, Kubeflow/MLFlow\n• Angielski C1",• Publikacje w ACL/EMNLP\n• Doœwiadczenie z GPT-4/LoRA,• Udzia³ w programie patentowym\n• Bud¿et R&D 10 000 PLN/rok\n• Mo¿liwoœæ pracy 80 % remote
